datetime,PO4T1,PO4T2,Oxi,ID toc do quat,Luu luong S003 F2,<100µm,<10µm,<120um,<130um,<150um,<15µm,<20µm,<45µm,<50µm,<60µm,<70µm,<80µm,MKN
2023-01-01 06:00:00,909.3605957,729.3822021,1.794247627,70,134.6508331,42.02,0.45,61.16,69.55,82.61,0.86,1.37,6.22,7.87,11.85,17.26,24.24,0.729509906
2023-01-01 08:00:00,916.890625,734.1671753,1.786237955,70,140.5735474,42.02,0.45,61.16,69.55,82.61,0.86,1.37,6.22,7.87,11.85,17.26,24.24,0.729509906
2023-01-01 10:00:00,914.7276611,729.8049927,1.719933152,70,138.5697327,42.02,0.45,61.16,69.55,82.61,0.86,1.37,6.22,7.87,11.85,17.26,24.24,0.729509906
2023-01-01 12:00:00,919.9615479,722.7276611,1.721712828,70,133.1458588,42.02,0.45,61.16,69.55,82.61,0.86,1.37,6.22,7.87,11.85,17.26,24.24,0.729509906
2023-01-01 14:00:00,912.4713745,728.8925171,1.789797544,70,135.3314667,39.67,0.44,58.64,67.08,80.42,0.84,1.34,5.76,7.26,10.89,15.9,22.49,0.738796732
2023-01-01 16:00:00,912.4713745,728.8925171,1.789797544,70,135.3314667,39.67,0.44,58.64,67.08,80.42,0.84,1.34,5.76,7.26,10.89,15.9,22.49,0.738796732
2023-01-01 18:00:00,908.3724976,731.986084,1.67543292,70,133.1754608,39.67,0.44,58.64,67.08,80.42,0.84,1.34,5.76,7.26,10.89,15.9,22.49,0.738796732
2023-01-01 20:00:00,906.3029785,725.9324951,1.484083533,70,136.8956299,39.67,0.44,58.64,67.08,80.42,0.84,1.34,5.76,7.26,10.89,15.9,22.49,0.738796732
2023-01-01 22:00:00,905.595459,729.1373291,1.612243056,70,138.3879395,42.18,0.48,61.01,69.25,82.01,0.9,1.43,6.39,8.07,12.09,17.55,24.53,0.763448217
2023-01-02 00:00:00,894.8743896,717.319458,1.719487906,70,135.1665955,42.18,0.48,61.01,69.25,82.01,0.9,1.43,6.39,8.07,12.09,17.55,24.53,0.763448217
2023-01-02 02:00:00,902.8850708,719.8789063,1.621588469,70,135.6273804,42.18,0.48,61.01,69.25,82.01,0.9,1.43,6.39,8.07,12.09,17.55,24.53,0.763448217
2023-01-02 04:00:00,910.7490234,721.2810059,1.680328131,70,132.4863586,42.18,0.48,61.01,69.25,82.01,0.9,1.43,6.39,8.07,12.09,17.55,24.53,0.763448217
2023-01-02 06:00:00,913.526123,734.8126221,1.711033106,70,137.6143036,40.09,0.33,59.2,67.66,80.99,0.7,1.16,5.58,7.11,10.82,15.95,22.67,0.724394514
2023-01-02 08:00:00,898.5727539,722.4383545,1.666533232,70,133.8053436,40.09,0.33,59.2,67.66,80.99,0.7,1.16,5.58,7.11,10.82,15.95,22.67,0.724394514
2023-01-02 10:00:00,907.7316284,722.5940552,1.815607429,70,132.4821472,40.09,0.33,59.2,67.66,80.99,0.7,1.16,5.58,7.11,10.82,15.95,22.67,0.724394514
2023-01-02 12:00:00,893.5125732,717.6087646,1.824062586,70,132.9302521,40.09,0.33,59.2,67.66,80.99,0.7,1.16,5.58,7.11,10.82,15.95,22.67,0.724394514
2023-01-02 14:00:00,912.4979248,717.1191406,1.990936995,70,131.8268738,41.3,0.26,60.58,68.98,81.95,0.65,1.15,5.57,7.12,10.94,16.3,23.32,0.767200647
2023-01-02 16:00:00,912.4979248,717.1191406,1.990936995,70,131.8268738,41.3,0.26,60.58,68.98,81.95,0.65,1.15,5.57,7.12,10.94,16.3,23.32,0.767200647
2023-01-02 18:00:00,905.9158936,721.0806885,1.648288369,70,134.4690552,41.3,0.26,60.58,68.98,81.95,0.65,1.15,5.57,7.12,10.94,16.3,23.32,0.767200647
2023-01-02 20:00:00,910.508667,726.2885742,1.897932291,70,136.0501404,41.3,0.26,60.58,68.98,81.95,0.65,1.15,5.57,7.12,10.94,16.3,23.32,0.767200647
2023-01-02 22:00:00,905.1414185,725.7989502,1.593108177,70,133.2346497,43.25,0.36,62.24,70.44,82.97,0.79,1.36,6.53,8.24,12.37,17.98,25.18,0.913306995
2023-01-03 00:00:00,897.1707764,719.5227661,1.760427833,70,137.8975372,43.25,0.36,62.24,70.44,82.97,0.79,1.36,6.53,8.24,12.37,17.98,25.18,0.913306995
2023-01-03 02:00:00,912.5248413,724.4858398,1.617138267,70,134.4394684,43.25,0.36,62.24,70.44,82.97,0.79,1.36,6.53,8.24,12.37,17.98,25.18,0.913306995
2023-01-03 04:00:00,897.6647949,718.9886475,1.673207879,70,135.5132446,43.25,0.36,62.24,70.44,82.97,0.79,1.36,6.53,8.24,12.37,17.98,25.18,0.913306995
2023-01-03 06:00:00,910.7623291,717.7868652,1.669203043,70,138.6077728,40.4,0.21,60,68.59,81.92,0.57,1.03,5.02,6.47,10.11,15.35,22.31,0.847821134
2023-01-03 08:00:00,903.4458008,711.1101074,1.875237226,70,139.3095398,40.4,0.21,60,68.59,81.92,0.57,1.03,5.02,6.47,10.11,15.35,22.31,0.847821134
2023-01-03 10:00:00,901.4165649,706.9482422,1.806262732,70,127.5063934,40.4,0.21,60,68.59,81.92,0.57,1.03,5.02,6.47,10.11,15.35,22.31,0.847821134
2023-01-03 12:00:00,907.5581055,714.9603271,1.771107912,70,133.0824432,40.4,0.21,60,68.59,81.92,0.57,1.03,5.02,6.47,10.11,15.35,22.31,0.847821134
2023-01-03 14:00:00,908.0921021,711.5997314,1.611353159,70,135.5978088,42.61,0.28,61.55,69.79,82.46,0.67,1.19,6.15,7.87,12,17.58,24.72,0.797532488
2023-01-03 16:00:00,908.0921021,711.5997314,1.611353159,70,135.5978088,42.61,0.28,61.55,69.79,82.46,0.67,1.19,6.15,7.87,12,17.58,24.72,0.797532488
2023-01-03 18:00:00,916.1829834,716.6517334,1.578423381,70,135.8852692,42.61,0.28,61.55,69.79,82.46,0.67,1.19,6.15,7.87,12,17.58,24.72,0.797532488
2023-01-03 20:00:00,905.3684082,716.6517334,1.867227554,70,136.6673431,42.61,0.28,61.55,69.79,82.46,0.67,1.19,6.15,7.87,12,17.58,24.72,0.797532488
2023-01-03 22:00:00,908.1322021,717.4975586,1.783123016,70,134.2914886,41.33,0.28,60.58,69.04,82.22,0.66,1.19,5.82,7.4,11.25,16.59,23.53,0.783920923
2023-01-04 00:00:00,903.6595459,717.4084473,1.532588601,70,137.8975372,41.33,0.28,60.58,69.04,82.22,0.66,1.19,5.82,7.4,11.25,16.59,23.53,0.783920923
2023-01-04 02:00:00,909.5740967,720.3685303,1.326554418,70,137.5720215,41.33,0.28,60.58,69.04,82.22,0.66,1.19,5.82,7.4,11.25,16.59,23.53,0.783920923
2023-01-04 04:00:00,902.0038452,717.5419922,1.639388323,70,134.6170197,41.33,0.28,60.58,69.04,82.22,0.66,1.19,5.82,7.4,11.25,16.59,23.53,0.783920923
2023-01-04 06:00:00,908.9733276,717.5419922,1.66119349,70,136.7307739,41.83,0.27,61.14,69.51,82.37,0.65,1.16,5.73,7.28,11.13,16.55,23.66,0.824807491
2023-01-04 08:00:00,898.479248,715.3831787,1.673653007,70,136.2741852,41.83,0.27,61.14,69.51,82.37,0.65,1.16,5.73,7.28,11.13,16.55,23.66,0.824807491
2023-01-04 10:00:00,901.0159912,714.3149414,1.85521245,70,131.7507782,41.83,0.27,61.14,69.51,82.37,0.65,1.16,5.73,7.28,11.13,16.55,23.66,0.824807491
2023-01-04 12:00:00,904.9813232,710.6204834,1.91706717,70,127.0160141,41.83,0.27,61.14,69.51,82.37,0.65,1.16,5.73,7.28,11.13,16.55,23.66,0.824807491
2023-01-04 14:00:00,915.6356201,718.1429443,1.788017631,70,127.100563,41,0.24,60.41,68.9,82.01,0.57,1.06,5.47,6.99,10.75,16.04,23.01,0.793188149
2023-01-04 16:00:00,915.6356201,718.1429443,1.788017631,70,127.100563,41,0.24,60.41,68.9,82.01,0.57,1.06,5.47,6.99,10.75,16.04,23.01,0.793188149
2023-01-04 18:00:00,899.8144531,715.6502686,1.904607415,70,131.9283295,41,0.24,60.41,68.9,82.01,0.57,1.06,5.47,6.99,10.75,16.04,23.01,0.793188149
2023-01-04 20:00:00,902.7783203,720.9471436,1.751527786,70,137.7960968,41,0.24,60.41,68.9,82.01,0.57,1.06,5.47,6.99,10.75,16.04,23.01,0.793188149
2023-01-04 22:00:00,901.8838501,720.2349854,1.56195879,70,133.6827393,37.43,0.08,57.23,66.12,80.19,0.4,0.84,4.48,5.76,8.97,13.63,20.03,0.793188149
2023-01-05 00:00:00,704.5924683,540.5185547,17.51070595,20,0,37.43,0.08,57.23,66.12,80.19,0.4,0.84,4.48,5.76,8.97,13.63,20.03,0.793188149
2023-01-05 02:00:00,631.3208008,472.460022,18.92357635,20,0,37.43,0.08,57.23,66.12,80.19,0.4,0.84,4.48,5.76,8.97,13.63,20.03,0.793188149
2023-01-05 04:00:00,577.5019531,413.1703186,19.79132271,20,0,37.43,0.08,57.23,66.12,80.19,0.4,0.84,4.48,5.76,8.97,13.63,20.03,0.793188149
2023-01-05 06:00:00,532.6817627,363.8735657,BAD,20,0,-,-,-,-,-,-,-,-,-,-,-,-,0.793188149
2023-01-05 08:00:00,513.7230225,368.4137268,BAD,15,0,-,-,-,-,-,-,-,-,-,-,-,-,0.793188149
